symbol,recommendation,time_horizon,entry,stop_loss,targets,confidence_score,risk_grade
INFY.BO,BUY,swing,"{'price': np.float64(1560.75), 'range': [np.float64(1552.95), np.float64(1568.55)]}",1506.89,"[{'price': np.float64(1668.48), 'probability': 0.7}, {'price': np.float64(1722.34), 'probability': 0.5}]",90.0,Medium
EICHERMOT.BO,BUY,swing,"{'price': np.float64(7114.35), 'range': [np.float64(7078.78), np.float64(7149.92)]}",6829.9,"[{'price': np.float64(7683.25), 'probability': 0.7}, {'price': np.float64(7967.7), 'probability': 0.5}]",88.0,Medium
DRREDDY.BO,BUY,swing,"{'price': np.float64(1276.3), 'range': [np.float64(1269.92), np.float64(1282.68)]}",1236.06,"[{'price': np.float64(1356.78), 'probability': 0.7}, {'price': np.float64(1397.02), 'probability': 0.5}]",88.0,Medium
KOTAKBANK.BO,BUY,swing,"{'price': np.float64(2142.3), 'range': [np.float64(2131.59), np.float64(2153.01)]}",2077.6,"[{'price': np.float64(2271.69), 'probability': 0.7}, {'price': np.float64(2336.39), 'probability': 0.5}]",84.0,Medium
HINDUNILVR.BO,BUY,swing,"{'price': np.float64(2477.4), 'range': [np.float64(2465.01), np.float64(2489.79)]}",,"[{'price': np.float64(nan), 'probability': 0.7}, {'price': np.float64(nan), 'probability': 0.5}]",84.0,Medium
ADANIPORTS.BO,BUY,swing,"{'price': np.float64(1515.6), 'range': [np.float64(1508.02), np.float64(1523.18)]}",1462.99,"[{'price': np.float64(1620.82), 'probability': 0.7}, {'price': np.float64(1673.43), 'probability': 0.5}]",84.0,Medium
MARUTI.BO,BUY,swing,"{'price': np.float64(16240.9), 'range': [np.float64(16159.7), np.float64(16322.1)]}",15737.27,"[{'price': np.float64(17248.16), 'probability': 0.7}, {'price': np.float64(17751.79), 'probability': 0.5}]",82.0,Medium
SUNPHARMA.BO,BUY,swing,"{'price': np.float64(1798.05), 'range': [np.float64(1789.06), np.float64(1807.04)]}",1745.77,"[{'price': np.float64(1902.61), 'probability': 0.7}, {'price': np.float64(1954.89), 'probability': 0.5}]",82.0,Medium
TECHM.BO,BUY,swing,"{'price': np.float64(1535.55), 'range': [np.float64(1527.87), np.float64(1543.23)]}",1483.24,"[{'price': np.float64(1640.18), 'probability': 0.7}, {'price': np.float64(1692.49), 'probability': 0.5}]",82.0,Medium
COALINDIA.BO,BUY,positional,"{'price': np.float64(378.9), 'range': [np.float64(377.01), np.float64(380.79)]}",,"[{'price': np.float64(nan), 'probability': 0.7}, {'price': np.float64(nan), 'probability': 0.5}]",80.0,Medium
BAJAJ-AUTO.BO,BUY,swing,"{'price': np.float64(9085.3), 'range': [np.float64(9039.87), np.float64(9130.73)]}",8787.56,"[{'price': np.float64(9680.77), 'probability': 0.7}, {'price': np.float64(9978.5), 'probability': 0.5}]",80.0,Medium
SBIN.BO,BUY,positional,"{'price': np.float64(967.75), 'range': [np.float64(962.91), np.float64(972.59)]}",939.45,"[{'price': np.float64(1024.35), 'probability': 0.7}, {'price': np.float64(1052.66), 'probability': 0.5}]",78.0,Medium
HINDALCO.BO,BUY,swing,"{'price': np.float64(806.2), 'range': [np.float64(802.17), np.float64(810.23)]}",774.83,"[{'price': np.float64(868.93), 'probability': 0.7}, {'price': np.float64(900.3), 'probability': 0.5}]",78.0,Medium
HEROMOTOCO.BO,BUY,positional,"{'price': np.float64(6270.1), 'range': [np.float64(6238.75), np.float64(6301.45)]}",,"[{'price': np.float64(nan), 'probability': 0.7}, {'price': np.float64(nan), 'probability': 0.5}]",77.0,Medium
CIPLA.BO,BUY,positional,"{'price': np.float64(1516.65), 'range': [np.float64(1509.07), np.float64(1524.23)]}",1472.9,"[{'price': np.float64(1604.15), 'probability': 0.7}, {'price': np.float64(1647.9), 'probability': 0.5}]",76.0,Medium
